id,amount,transaction_type,category_id,description,transaction_date,created_at,updated_at,wallet_id
000050b9-336e-4ad2-88fc-8aae4edb08d5,358000,expense,506efa3b-7808-4fa1-b5fe-72fc55fe3571,Đi siêu thị,8/17/2025,2025-08-17 00:00:00.206878+00,2025-08-17 00:00:00.206878+00,dbcb531a-0256-4704-be95-425e3c4f9abb
0002abd2-5e74-4806-aa3e-dba235128feb,44000,expense,506efa3b-7808-4fa1-b5fe-72fc55fe3571,ShopeeFood,1/17/2026,2026-01-17 00:00:00.810971+00,2026-01-17 00:00:00.810971+00,a2dc4176-0770-4641-bfce-b1458d3483a7
000d6f8a-72dd-41b9-b624-f1c35fa69eef,2000,expense,506efa3b-7808-4fa1-b5fe-72fc55fe3571,Cà phê,5/18/2026,2026-05-18 00:00:00.238444+00,2026-05-18 00:00:00.238444+00,5df3a003-1743-48c7-a737-adddd56254ab
000dbf12-06fe-47ba-a6c3-0c7ce7c103c9,98000,expense,cd4912c2-1b2c-49f5-9223-a5a66f5c5f71,Mua sắm Shopee,7/8/2025,2025-07-08 00:00:00.579545+00,2025-07-08 00:00:00.579545+00,80c726a1-a60f-4566-bdca-40b42a62b63f
0011a533-4eff-4d24-a365-0bfa82a23df5,1129000,income,,Thưởng dự án,10/25/2025,2025-10-25 00:00:00.87419+00,2025-10-25 00:00:00.87419+00,93bbce0b-2d35-4490-9134-108b67f5354e
0012de03-e5ac-4ae3-8250-ab852eba710d,37000,expense,3c16a7c6-a699-4191-9cc8-2736b8814b74,Gửi xe,7/30/2025,2025-07-30 00:00:00.382899+00,2025-07-30 00:00:00.382899+00,edc60f6c-6ffc-4531-a5f1-fccd7ef774ef
0022086c-a3c7-4f73-81e7-2f60aafed89f,44000,expense,cd4912c2-1b2c-49f5-9223-a5a66f5c5f71,Đồ điện tử,5/29/2026,2026-05-29 00:00:00.807892+00,2026-05-29 00:00:00.807892+00,b3a03f0c-9def-4c2a-879f-967f690f224e
0022086c-a3c7-4f73-81e7-2f60aafed89f,44000,expense,cd4912c2-1b2c-49f5-9223-a5a66f5c5f71,Đồ điện tử,5/29/2026,2026-05-29 00:00:00.807892+00,2026-05-29 00:00:00.807892+00,b3a03f0c-9def-4c2a-879f-967f690f224e
00303ba0-6c86-42fa-850f-6d80daa9a20d,285000,expense,3c16a7c6-a699-4191-9cc8-2736b8814b74,Phí cầu đường,10/15/2025,2025-10-15 00:00:00.577056+00,2025-10-15 00:00:00.577056+00,7563f014-a2c6-49b0-829e-ca59782ca1fa
0033b52a-23e9-4441-b2c9-9a07b7480770,32000,expense,3c16a7c6-a699-4191-9cc8-2736b8814b74,Vé xe buýt,9/30/2025,2025-09-30 00:00:00.224639+00,2025-09-30 00:00:00.224639+00,96e4d061-33ef-40da-b293-98d6dbbacb67
0037b25d-4a0d-4226-a868-143ea1e6b8d6,524000,expense,506efa3b-7808-4fa1-b5fe-72fc55fe3571,GrabFood,11/30/2025,2025-11-30 00:00:00.174055+00,2025-11-30 00:00:00.174055+00,e2e03579-5c9e-4e0e-b8bf-909608672040
0039182f-b1c4-4df3-8ee1-ed84c707760a,55000,expense,3c16a7c6-a699-4191-9cc8-2736b8814b74,Phí cầu đường,7/19/2025,2025-07-19 00:00:00.57848+00,2025-07-19 00:00:00.57848+00,b68b89a6-5716-4000-9be4-6aca43643c23
